,Year,Month,News-Based Policy Uncertainty Index
0,1994,1.0,312.8876037597656
1,1994,2.0,229.42437744140625
2,1994,3.0,177.62762451171875
3,1994,4.0,100.25624084472656
4,1994,5.0,119.05428314208984
5,1994,6.0,139.9515380859375
6,1994,7.0,83.86353302001953
7,1994,8.0,82.39778900146484
8,1994,9.0,97.43924713134766
9,1994,10.0,88.98472595214844
10,1994,11.0,45.36542510986328
11,1994,12.0,70.38545989990234
12,1995,1.0,85.99311828613281
13,1995,2.0,170.02163696289062
14,1995,3.0,109.73279571533203
15,1995,4.0,228.19476318359375
16,1995,5.0,271.7930908203125
17,1995,6.0,178.89639282226562
18,1995,7.0,167.5427703857422
19,1995,8.0,207.60345458984375
20,1995,9.0,226.5756378173828
21,1995,10.0,200.45941162109375
22,1995,11.0,186.38507080078125
23,1995,12.0,231.3260498046875
24,1996,1.0,421.65447998046875
25,1996,2.0,151.1040496826172
26,1996,3.0,208.09312438964844
27,1996,4.0,261.9436950683594
28,1996,5.0,173.50311279296875
29,1996,6.0,221.42381286621094
30,1996,7.0,229.80027770996094
31,1996,8.0,206.9558868408203
32,1996,9.0,271.2508544921875
33,1996,10.0,182.88800048828125
34,1996,11.0,153.8631134033203
35,1996,12.0,290.2890625
36,1997,1.0,196.84461975097656
37,1997,2.0,116.49066925048828
38,1997,3.0,62.81001663208008
39,1997,4.0,110.090087890625
40,1997,5.0,197.98809814453125
41,1997,6.0,155.92526245117188
42,1997,7.0,74.80919647216797
43,1997,8.0,20.71302032470703
44,1997,9.0,20.92938232421875
45,1997,10.0,28.42041778564453
46,1997,11.0,50.00764083862305
47,1997,12.0,22.717002868652344
48,1998,1.0,61.169456481933594
49,1998,2.0,29.654260635375977
50,1998,3.0,47.479610443115234
51,1998,4.0,29.508682250976562
52,1998,5.0,34.8055534362793
53,1998,6.0,37.61526107788086
54,1998,7.0,69.81322479248047
55,1998,8.0,59.357330322265625
56,1998,9.0,239.3199005126953
57,1998,10.0,37.66239547729492
58,1998,11.0,22.180511474609375
59,1998,12.0,88.52604675292969
60,1999,1.0,73.6116714477539
61,1999,2.0,60.109188079833984
62,1999,3.0,18.03997039794922
63,1999,4.0,56.742469787597656
64,1999,5.0,106.0126724243164
65,1999,6.0,61.29420852661133
66,1999,7.0,95.1697006225586
67,1999,8.0,152.34043884277344
68,1999,9.0,18.92606544494629
69,1999,10.0,109.19017028808594
70,1999,11.0,29.150915145874023
71,1999,12.0,31.09632110595703
72,2000,1.0,117.12623596191406
73,2000,2.0,27.027511596679688
74,2000,3.0,27.272769927978516
75,2000,4.0,25.90913200378418
76,2000,5.0,42.9760627746582
77,2000,6.0,115.94142150878906
78,2000,7.0,15.776689529418945
79,2000,8.0,28.982250213623047
80,2000,9.0,101.02384185791016
81,2000,10.0,53.26467514038086
82,2000,11.0,55.502479553222656
83,2000,12.0,85.66629791259766
84,2001,1.0,72.2900619506836
85,2001,2.0,82.5999755859375
86,2001,3.0,48.358154296875
87,2001,4.0,36.21035385131836
88,2001,5.0,58.21712875366211
89,2001,6.0,26.456506729125977
90,2001,7.0,12.398759841918945
91,2001,8.0,35.793479919433594
92,2001,9.0,104.17536926269531
93,2001,10.0,55.45127868652344
